collection_received_date,shipment_number,isolation_box_number,position in box,s_label,proliferating,strip_tube_number,strip_tube_position,lysis_date,ssu_pcr_date,ITS2_pcr_date,gel_number,gel_position,ITS2_pcr_product,rhabditid_pcr_product,species_id,MCLab Sequencing Positions,notes,manual_blast_notes,ECA_dirty,ECA_clean
12/11/19,1,,,S-10201,1,1,2,12/16/19,12/17/19,12/17/19,1,A3,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10202,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10203,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10204,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10205,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10206,1,1,3,12/16/19,12/17/19,12/17/19,1,A5,1,1,C. briggsae,A1,,,,
12/11/19,1,,,S-10207,1,1,4,12/16/19,12/17/19,12/17/19,1,A7,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10208,1,1,5,12/16/19,12/17/19,12/17/19,1,A9,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10209,1,1,6,12/16/19,12/17/19,12/17/19,1,A11,1,1,C. briggsae,B1,,,,
12/11/19,1,,,S-10210,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10211,1,1,7,12/16/19,12/17/19,12/17/19,1,A13,1,1,C. briggsae,C1,,,,
12/11/19,1,,,S-10212,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10213,1,1,8,12/16/19,12/17/19,12/17/19,1,A15,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10214,1,1,9,12/16/19,12/17/19,12/17/19,1,A17,1,1,NA,D1,,Needs to be redone,,
12/11/19,1,,,S-10215,1,1,10,12/16/19,12/17/19,12/17/19,1,A19,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10216,1,1,11,12/16/19,12/17/19,12/17/19,1,A21,0,1,#N/A,,,#N/A,,
