collection_received_date,shipment_number,isolation_box_number,position in box,s_label,proliferating,strip_tube_number,strip_tube_position,lysis_date,ssu_pcr_date,ITS2_pcr_date,gel_number,gel_position,ITS2_pcr_product,rhabditid_pcr_product,species_id,MCLab Sequencing Positions,notes,manual_blast_notes,ECA_dirty,ECA_clean
12/11/19,1,,,S-10217,1,1,12,12/16/19,12/17/19,12/17/19,1,A23,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10218,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10219,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10220,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10221,1,2,2,12/16/19,12/17/19,12/17/19,1,A4,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10222,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10223,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10224,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10225,1,2,3,12/16/19,12/17/19,12/17/19,1,A6,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10226,1,2,4,12/16/19,12/17/19,12/17/19,1,A8,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10227,1,2,5,12/16/19,12/17/19,12/17/19,1,A10,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10228,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10229,1,2,6,12/16/19,12/17/19,12/17/19,1,A12,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10230,1,2,7,12/16/19,12/17/19,12/17/19,1,A14,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10231,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10232,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10233,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10234,1,2,8,12/16/19,12/17/19,12/17/19,1,A16,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10235,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10236,1,2,9,12/16/19,12/17/19,12/17/19,1,A18,1,1,C. elegans,E1,,1 bp change in ITS2,,
12/11/19,1,,,S-10237,1,2,10,12/16/19,12/17/19,12/17/19,1,A20,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10238,1,2,11,12/16/19,12/17/19,12/17/19,1,A22,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10239,1,2,12,12/16/19,12/17/19,12/17/19,1,A24,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10240,1,3,2,12/16/19,12/17/19,12/17/19,1,B3,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10241,1,3,3,12/16/19,12/17/19,12/17/19,1,B5,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10242,1,3,4,12/16/19,12/17/19,12/17/19,1,B7,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10243,1,3,5,12/16/19,12/17/19,12/17/19,1,B9,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10244,1,3,6,12/16/19,12/17/19,12/17/19,1,B11,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10245,1,3,7,12/16/19,12/17/19,12/17/19,1,B13,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10247,1,3,8,12/16/19,12/17/19,12/17/19,1,B15,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10248,1,3,9,12/16/19,12/17/19,12/17/19,1,B17,1,1,O. myriophilus,F1,,,,
12/11/19,1,,,S-10249,1,3,10,12/16/19,12/17/19,12/17/19,1,B19,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10250,1,3,11,12/16/19,12/17/19,12/17/19,1,B21,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10251,1,3,12,12/16/19,12/17/19,12/17/19,1,B23,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10252,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10253,1,4,2,12/16/19,12/17/19,12/17/19,1,B4,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10254,1,4,3,12/16/19,12/17/19,12/17/19,1,B6,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10255,0,,,,,,,,0,,#N/A,,,#N/A,,
12/11/19,1,,,S-10256,1,4,4,12/16/19,12/17/19,12/17/19,1,B8,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10257,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10258,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10259,1,4,5,12/16/19,12/17/19,12/17/19,1,B10,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10260,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10261,1,4,6,12/16/19,12/17/19,12/17/19,1,B12,1,1,C. briggsae,G1,,,,
12/11/19,1,,,S-10262,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10263,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10264,1,4,7,12/16/19,12/17/19,12/17/19,1,B14,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10265,1,4,8,12/16/19,12/17/19,12/17/19,1,B16,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10266,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10267,1,4,9,12/16/19,12/17/19,12/17/19,1,B18,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10268,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10269,1,4,10,12/16/19,12/17/19,12/17/19,1,B20,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10270,1,4,11,12/16/19,12/17/19,12/17/19,1,B22,1,1,C. briggsae,H1,,,,
12/11/19,1,,,S-10271,1,4,12,12/16/19,12/17/19,12/17/19,1,B24,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10272,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10273,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10274,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10275,1,5,2,12/16/19,12/17/19,12/17/19,1,C3,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10276,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10277,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10278,1,5,3,12/16/19,12/17/19,12/17/19,1,C5,1,1,C. briggsae,A2,,,,
12/11/19,1,,,S-10279,1,5,4,12/16/19,12/17/19,12/17/19,1,C7,1,1,C. briggsae,B2,,,,
12/11/19,1,,,S-10280,1,5,5,12/16/19,12/17/19,12/17/19,1,C9,1,1,C. briggsae,C2,,,,
12/11/19,1,,,S-10281,1,5,6,12/16/19,12/17/19,12/17/19,1,C11,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10282,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10283,1,5,7,12/16/19,12/17/19,12/17/19,1,C13,1,1,C. briggsae,D2,,,,
12/11/19,1,,,S-10284,1,5,8,12/16/19,12/17/19,12/17/19,1,C15,1,1,C. briggsae,E2,,,,
12/11/19,1,,,S-10285,1,5,9,12/16/19,12/17/19,12/17/19,1,C17,1,1,C. briggsae,F2,,,,
12/11/19,1,,,S-10286,1,5,10,12/16/19,12/17/19,12/17/19,1,C9,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10287,1,5,11,12/16/19,12/17/19,12/17/19,1,C21,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10288,1,5,12,12/16/19,12/17/19,12/17/19,1,C23,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10289,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10290,1,6,2,12/16/19,12/17/19,12/17/19,1,C4,1,1,C. briggsae,G2,,,,
12/11/19,1,,,S-10291,1,6,3,12/16/19,12/17/19,12/17/19,1,C6,1,1,C. briggsae,H2,,,,
12/11/19,1,,,S-10292,1,6,4,12/16/19,12/17/19,12/17/19,1,C8,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10293,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10294,1,6,5,12/16/19,12/17/19,12/17/19,1,C10,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10295,1,6,6,12/16/19,12/17/19,12/17/19,1,C12,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10296,1,6,7,12/16/19,12/17/19,12/17/19,1,C14,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10297,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10298,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10299,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10300,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10301,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10302,1,6,8,12/16/19,12/17/19,12/17/19,1,C16,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10303,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10304,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10305,1,6,9,12/16/19,12/17/19,12/17/19,1,C18,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10306,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10307,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10308,1,6,10,12/16/19,12/17/19,12/17/19,1,C20,1,1,C. oiwi,A3,,,,
12/11/19,1,,,S-10309,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10310,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10311,1,6,11,12/16/19,12/17/19,12/17/19,1,C22,1,1,O. myriophilus,B3,,,,
12/11/19,1,,,S-10312,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10313,1,6,12,12/16/19,12/17/19,12/17/19,1,C24,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10314,1,7,2,12/16/19,12/17/19,12/17/19,2,A3,1,1,C. briggsae,C3,,,,
12/11/19,1,,,S-10315,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10316,1,7,3,12/16/19,12/17/19,12/17/19,2,A5,1,1,C. elegans,D3,,,,
12/11/19,1,,,S-10317,1,7,4,12/16/19,12/17/19,12/17/19,2,A7,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10318,1,7,5,12/16/19,12/17/19,12/17/19,2,A9,1,1,C. elegans,E3,,,,
12/11/19,1,,,S-10319,1,7,6,12/16/19,12/17/19,12/17/19,2,A11,1,1,C. briggsae,F3,,,,
12/11/19,1,,,S-10320,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10321,1,7,7,12/16/19,12/17/19,12/17/19,2,A13,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10322,1,7,8,12/16/19,12/17/19,12/17/19,2,A15,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10323,1,7,9,12/16/19,12/17/19,12/17/19,2,A17,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10324,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10325,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10326,1,7,10,12/16/19,12/17/19,12/17/19,2,A19,1,1,C. briggsae,G3,,,,
12/11/19,1,,,S-10327,1,7,11,12/16/19,12/17/19,12/17/19,2,A21,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10328,1,7,12,12/16/19,12/17/19,12/17/19,2,A23,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10329,1,8,2,12/16/19,12/17/19,12/17/19,2,A4,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10330,1,8,3,12/16/19,12/17/19,12/17/19,2,A6,1,1,C. briggsae,H3,,,,
12/11/19,1,,,S-10331,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10332,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10333,1,8,4,12/16/19,12/18/19,12/18/19,2,A8,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10334,1,8,5,12/16/19,12/18/19,12/18/19,2,A10,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10335,1,8,3,12/16/19,12/18/19,12/18/19,2,A12,1,1,O. myriophilus,A4,"This sample is with shipment 1, box 5, strip tube 8 (labeled 8 on pcr plate).",,,
12/11/19,1,,,S-10336,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10337,1,8,4,12/16/19,12/18/19,12/18/19,2,A14,1,1,C. briggsae,B4,"This sample is with shipment 1, box 5, strip tube 8 (labeled 8 on pcr plate).",,,
12/11/19,1,,,S-10338,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10340,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10341,1,9,2,12/17/19,12/18/19,12/18/19,2,B3,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10342,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10343,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10344,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10345,1,9,3,12/17/19,12/18/19,12/18/19,2,B5,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10346,1,9,4,12/17/19,12/18/19,12/18/19,2,B7,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10347,1,9,5,12/17/19,12/18/19,12/18/19,2,B9,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10348,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10349,1,9,6,12/17/19,12/18/19,12/18/19,2,B11,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10350,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10351,1,9,7,12/17/19,12/18/19,12/18/19,2,B13,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10352,1,9,8,12/17/19,12/18/19,12/18/19,2,B15,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10353,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10354,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10355,1,9,9,12/17/19,12/18/19,12/18/19,2,B17,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10356,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10357,1,9,10,12/17/19,12/18/19,12/18/19,2,B19,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10358,1,9,11,12/17/19,12/18/19,12/18/19,2,B21,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10359,1,9,12,12/17/19,12/18/19,12/18/19,2,B23,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10360,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10361,1,10,2,12/17/19,12/18/19,12/18/19,2,B4,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10362,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10364,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10365,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10366,1,10,3,12/17/19,12/18/19,12/18/19,2,B6,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10367,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10368,1,10,4,12/17/19,12/18/19,12/18/19,2,B8,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10369,1,10,5,12/17/19,12/18/19,12/18/19,2,B10,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10370,1,10,6,12/17/19,12/18/19,12/18/19,2,B12,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10371,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10372,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10373,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10374,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10375,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10377,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10379,1,10,7,12/17/19,12/18/19,12/18/19,2,B14,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10380,1,10,8,12/17/19,12/18/19,12/18/19,2,B16,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10381,1,10,9,12/17/19,12/18/19,12/18/19,2,B18,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10382,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10383,1,10,10,12/17/19,12/18/19,12/18/19,2,B20,1,1,C. oiwi,C4,,,,
12/11/19,1,,,S-10384,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10385,1,10,11,12/17/19,12/18/19,12/18/19,2,B22,1,1,C. briggsae,D4,,,,
12/11/19,1,,,S-10386,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10387,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10388,1,10,12,12/17/19,12/18/19,12/18/19,2,B24,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10389,1,11,2,12/17/19,12/18/19,12/18/19,2,C3,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10390,1,11,3,12/17/19,12/18/19,12/18/19,2,C5,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10391,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10392,1,11,4,12/17/19,12/18/19,12/18/19,2,C7,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10393,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10394,1,11,5,12/17/19,12/18/19,12/18/19,2,C9,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10395,1,11,6,12/17/19,12/18/19,12/18/19,2,C11,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10397,1,11,7,12/17/19,12/18/19,12/18/19,2,C13,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10398,1,11,8,12/17/19,12/18/19,12/18/19,2,C15,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10399,1,11,9,12/17/19,12/18/19,12/18/19,2,C17,1,1,C. oiwi,E4,,,,
12/11/19,1,,,S-10400,1,11,10,12/17/19,12/18/19,12/18/19,2,C9,1,1,C. oiwi,F4,,,,
12/11/19,1,,,S-10401,1,11,11,12/17/19,12/18/19,12/18/19,2,C21,1,1,C. oiwi,G4,,,,
12/11/19,1,,,S-10402,1,11,12,12/17/19,12/18/19,12/18/19,2,C23,1,1,C. oiwi,H4,,,,
12/11/19,1,,,S-10403,1,12,2,12/17/19,12/18/19,12/18/19,2,C4,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10404,1,12,3,12/17/19,12/18/19,12/18/19,2,C6,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10405,1,12,4,12/17/19,12/18/19,12/18/19,2,C8,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10406,1,12,5,12/17/19,12/18/19,12/18/19,2,C10,1,1,C. oiwi,A5,,,,
12/11/19,1,,,S-10407,1,12,6,12/17/19,12/18/19,12/18/19,2,C12,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10408,1,12,7,12/17/19,12/18/19,12/18/19,2,C14,1,1,C. briggsae,B5,,,,
12/11/19,1,,,S-10409,1,12,8,12/17/19,12/18/19,12/18/19,2,C16,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10410,1,12,9,12/17/19,12/18/19,12/18/19,2,C18,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10411,1,12,10,12/17/19,12/18/19,12/18/19,2,C20,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10412,1,12,11,12/17/19,12/18/19,12/18/19,2,C22,1,1,C. elegans,C5,,,,
12/11/19,1,,,S-10413,1,12,12,12/17/19,12/18/19,12/18/19,2,C24,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10414,1,13,2,12/17/19,12/18/19,12/18/19,3,A3,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10415,1,13,3,12/17/19,12/18/19,12/18/19,3,A5,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10416,1,13,4,12/17/19,12/18/19,12/18/19,3,A7,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10417,1,13,5,12/17/19,12/18/19,12/18/19,3,A9,1,1,C. briggsae,D5,,,,
12/11/19,1,,,S-10418,1,13,6,12/17/19,12/18/19,12/18/19,3,A11,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10419,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10420,1,13,7,12/17/19,12/18/19,12/18/19,3,A13,1,1,C. tropicalis,E5,,Has a few bp differences in the middle of the ITS2,,
12/11/19,1,,,S-10421,1,13,9,12/17/19,12/18/19,12/18/19,3,A15,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10422,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10423,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10424,1,13,8,12/17/19,12/18/19,12/18/19,3,A17,1,1,NA,F5,,Needs to be redone,,
12/11/19,1,,,S-10425,1,13,10,12/17/19,12/18/19,12/18/19,3,A19,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10426,1,13,11,12/17/19,12/18/19,12/18/19,3,A21,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10427,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10428,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10429,1,13,12,12/17/19,12/18/19,12/18/19,3,A23,1,1,C. oiwi,G5,,,,
12/11/19,1,,,S-10430,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10431,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10432,1,14,2,12/17/19,12/18/19,12/18/19,3,A4,1,1,C. briggsae,H5,,,,
12/11/19,1,,,S-10433,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10434,1,14,3,12/17/19,12/18/19,12/18/19,3,A6,1,1,C. briggsae,A6,,,,
12/11/19,1,,,S-10435,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10436,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10437,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10438,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10439,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10440,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10441,1,14,4,12/17/19,12/18/19,12/18/19,3,A8,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10442,1,14,5,12/17/19,12/18/19,12/18/19,3,A10,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10443,1,14,6,12/17/19,12/18/19,12/18/19,3,A12,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10444,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10445,1,14,7,12/17/19,12/18/19,12/18/19,3,A14,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10446,1,14,8,12/17/19,12/18/19,12/18/19,3,A16,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10447,1,14,9,12/17/19,12/18/19,12/18/19,3,A18,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10448,1,14,10,12/17/19,12/18/19,12/18/19,3,A20,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10449,1,14,11,12/17/19,12/18/19,12/18/19,3,A22,1,1,O. myriophilus,B6,,,,
12/11/19,1,,,S-10450,1,14,12,12/17/19,12/18/19,12/18/19,3,A24,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10451,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10452,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10453,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10454,1,15,2,12/17/19,12/18/19,12/18/19,3,B3,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10455,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10456,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10457,0,,,,,,,,,,#N/A,,,#N/A,,
12/11/19,1,,,S-10458,1,15,3,12/17/19,12/18/19,12/18/19,3,B5,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10459,1,15,4,12/17/19,12/18/19,12/18/19,3,B7,0,1,#N/A,,,#N/A,,
12/11/19,1,,,S-10460,1,15,5,12/17/19,12/18/19,12/18/19,3,B9,0,1,#N/A,,,#N/A,,
